crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,affected_by_high_risk_node,affected_by_med_risk_node,affected_by_low_risk_node,avg_latency_before,avg_latency_after,affected_percentage,avg_latency_diff
0,1771099137.9918163,2,5,5,0,0,28.4701,28.6141,20.83,0.1440
1,1771099212.5621595,2,8,8,0,0,28.1877,29.1866,16.67,0.9988
2,1771099242.5031993,2,17,17,0,0,28.5798,29.3035,42.50,0.7238
3,1771099437.8623805,2,9,9,0,0,28.2791,28.9301,16.07,0.6510
4,1771099454.32178,2,8,8,0,0,28.5950,29.6377,14.29,1.0428
5,1771099495.2516901,2,4,4,0,0,29.8617,29.7681,8.70,-0.1691
6,1771099520.031502,2,3,3,0,0,29.5241,29.7261,7.50,0.2020
7,1771099585.0015166,2,5,5,0,0,28.7106,29.4353,8.93,0.7247
8,1771099641.5012941,2,3,3,0,0,29.3732,29.7572,6.25,0.3840
9,1771099703.3512566,2,3,3,0,0,31.0331,30.1909,7.50,-0.8422
10,1771099726.6516569,2,4,4,0,0,29.2901,29.3290,8.33,0.0388
11,1771099781.491179,2,2,2,0,0,29.8693,30.2096,5.00,0.3403
12,1771099841.1907651,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
13,1771099877.850736,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
14,1771099941.8520403,2,6,6,0,0,29.2584,30.0369,15.79,0.7842
15,1771099970.1718423,2,5,5,0,0,30.3056,30.3020,8.93,-0.0036
16,1771099994.6808906,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
17,1771100015.7617772,2,4,4,0,0,29.8487,30.3287,8.00,0.8032
