crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,affected_by_high_risk_node,affected_by_med_risk_node,affected_by_low_risk_node,avg_latency_before,avg_latency_after,affected_percentage,avg_latency_diff
0,1771012214.4759963,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
1,1771012292.0960119,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
2,1771012329.536013,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
3,1771012331.2762837,2,1,0,0,1,26.6245,0.0000,2.17,0.0000
4,1771012385.4569085,2,3,0,0,3,25.6419,27.5657,6.82,1.6572
5,1771012480.1460505,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
6,1771012505.6388464,2,25,0,0,25,25.8448,0.0000,208.33,0.0000
7,1771012530.0667927,2,8,0,0,8,24.5789,0.0000,20.00,0.0000
8,1771012557.977358,2,9,0,9,0,26.5539,27.1955,22.50,0.6417
9,1771012706.6260538,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
10,1771012726.3297873,2,31,0,0,31,26.3582,0.0000,221.43,0.0000
11,1771012892.8764973,2,2,0,0,2,26.4859,0.0000,3.85,0.0000
12,1771012976.8799696,2,26,0,0,26,26.7031,0.0000,433.33,0.0000
13,1771012997.4459994,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
14,1771013004.1160471,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
15,1771013100.5860448,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
16,1771013139.059397,2,25,0,0,25,25.6744,0.0000,96.15,0.0000
17,1771013153.4268067,2,6,0,6,0,27.1378,27.1960,30.00,-0.0091
18,1771013154.9860017,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
19,1771013155.6263103,2,1,0,1,0,26.9130,0.0000,5.00,0.0000
