crash_trial,sfc_id,recover_success,backup_success,backup_efficient,latency_diff,time_to_recover,vnf_id,latency_degrad,resource_degrad,risk_level,final_status
3,sfc_unique_p2_10,True,False,N/A,-21.479843742098794,0.031179428100585938,N/A,-21.479843742098794,-21.0,High,Slow Recover
3,sfc_cache_p4_9,True,False,N/A,-23.370756291583234,0.06167149543762207,N/A,-23.370756291583234,-10.0,High,Slow Recover
3,sfc_cache_p4_8,True,False,N/A,-23.370756291583234,0.0985708236694336,N/A,-23.370756291583234,-10.0,High,Slow Recover
3,sfc_cache_p4_10,True,False,N/A,-23.369843742098794,0.13064217567443848,N/A,-23.369843742098794,-10.0,High,Slow Recover
3,sfc_cache_p3_9,True,False,N/A,-23.370756291583234,0.16345500946044922,N/A,-23.370756291583234,-10.0,High,Slow Recover
3,sfc_cache_p3_8,True,False,N/A,-22.890756291583237,0.19547581672668457,N/A,-22.890756291583237,-10.0,High,Slow Recover
3,sfc_cache_p3_10,True,False,N/A,-23.36984374209879,0.22843098640441895,N/A,-23.36984374209879,-10.0,High,Slow Recover
3,sfc_cache_p2_9,True,False,N/A,-23.510756291583235,0.26674389839172363,N/A,-23.510756291583235,-10.0,High,Slow Recover
3,sfc_cache_p2_8,True,False,N/A,-23.660756291583237,0.299274206161499,N/A,-23.660756291583237,-10.0,High,Slow Recover
3,sfc_cache_p2_7,True,False,N/A,-24.871531098857275,0.3320903778076172,N/A,-24.871531098857275,-10.0,High,Slow Recover
3,sfc_cache_p1_9,True,False,N/A,-23.995078463348236,0.36536717414855957,N/A,-23.995078463348236,-10.0,High,Slow Recover
3,sfc_cache_p1_8,True,False,N/A,-23.370756291583234,0.3981034755706787,N/A,-23.370756291583234,-10.0,High,Slow Recover
3,sfc_cache_p1_10,True,False,N/A,-22.88984374209879,0.43543076515197754,N/A,-22.88984374209879,-10.0,High,Slow Recover
5,sfc_cache_p1_14,True,False,N/A,-23.61166994781069,0.032909393310546875,N/A,-23.61166994781069,-6.0,High,Slow Recover
6,sfc_unique_p3_15,True,False,N/A,-22.840697416668895,0.02698040008544922,N/A,-22.840697416668895,-21.0,High,Slow Recover
6,sfc_cache_p4_15,True,False,N/A,-23.520163512994106,0.04914379119873047,N/A,-23.520163512994106,-10.0,High,Slow Recover
7,sfc_unique_p2_15,True,False,N/A,-23.951089292825415,0.03341317176818848,N/A,-23.951089292825415,-21.0,High,Slow Recover
7,sfc_cache_p4_14,True,False,N/A,-23.651416635923002,0.06418395042419434,N/A,-23.651416635923002,-10.0,High,Slow Recover
7,sfc_cache_p4_13,True,False,N/A,-23.064391161381604,0.10122513771057129,N/A,-23.064391161381604,-10.0,High,Slow Recover
7,sfc_cache_p3_14,True,False,N/A,-23.161669947810687,0.13448166847229004,N/A,-23.161669947810687,-10.0,High,Slow Recover
