crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,affected_by_high_risk_node,affected_by_med_risk_node,affected_by_low_risk_node,avg_latency_before,avg_latency_after,affected_percentage,avg_latency_diff
0,1770747087.563334,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
1,1770747090.3846946,2,8,8,0,0,20.2521,20.8395,22.22,0.5998
2,1770747108.9336534,2,1,1,0,0,20.2397,20.8545,2.50,0.6148
3,1770747176.3538685,2,1,1,0,0,20.4286,22.0496,2.50,1.6211
4,1770747490.5346994,2,9,9,0,0,21.7238,22.1100,25.00,0.2242
5,1770747547.8033493,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
6,1770747568.0740082,2,3,3,0,0,20.7966,22.8599,7.50,2.0634
7,1770747581.946604,2,22,22,0,0,21.1486,21.7100,61.11,0.4290
8,1770747608.4054244,2,14,14,0,0,20.6832,20.7293,26.92,0.1131
9,1770747712.1705933,2,9,9,0,0,20.3107,20.6067,22.50,0.2226
10,1770747713.736997,2,11,11,0,0,20.9897,21.4347,28.95,-0.4579
11,1770747714.300167,2,13,13,0,0,21.0352,23.2271,50.00,1.3186
12,1770747751.6034722,2,1,1,0,0,0.0000,0.0000,2.50,0.0000
13,1770747774.954504,2,6,6,0,0,21.6866,21.5323,13.04,-0.0705
14,1770747785.1747558,2,10,10,0,0,20.4267,20.9401,20.83,0.5134
15,1770747828.48613,2,18,18,0,0,21.2111,20.9732,56.25,-1.1608
16,1770747845.0146348,2,7,7,0,0,20.4434,21.6738,17.50,1.2304
17,1770747873.454252,2,5,5,0,0,20.3042,0.0000,12.50,0.0000
18,1770747891.7135053,2,1,1,0,0,0.0000,0.0000,2.08,0.0000
