crash_trial,sfc_id,recover_success,backup_success,backup_efficient,latency_diff,time_to_recover,vnf_id,latency_degrad,resource_degrad
0,sfc_cache_p4_1,True,False,,-12.756515611048004,0.04955148696899414,,-12.756515611048004,-5.67
0,sfc_unique_p4_1,True,False,,-10.597282248829654,0.05004310607910156,,-10.597282248829654,-21.0
0,sfc_cache_p3_1,True,False,,-10.717282248829655,0.09959983825683594,,-10.717282248829655,-1.67
0,sfc_unique_p3_1,True,False,,-9.227282248829654,0.09976744651794434,,-9.227282248829654,-21.0
1,sfc_unique_p4_1,True,False,,-12.371774632345355,0.030471086502075195,,-12.371774632345355,-21.0
1,sfc_cache_p3_1,True,False,,-14.028258808641258,0.07089805603027344,,-14.028258808641258,-1.67
1,sfc_unique_p3_1,True,False,,-13.368258808641258,0.07128334045410156,,-13.368258808641258,-21.0
1,sfc_cache_p2_2,True,False,,-13.919119394249243,0.11437654495239258,,-13.919119394249243,-10.0
1,sfc_cache_p1_2,True,False,,-13.189119394249243,0.1574842929840088,,-13.189119394249243,-1.67
0,sfc_cache_p4_1,True,False,,-36.38479192950582,0.06543087959289551,,-36.38479192950582,-5.67
0,sfc_unique_p4_1,True,False,,-32.995558567287475,0.06596112251281738,,-32.995558567287475,-21.0
0,sfc_cache_p3_1,True,False,,-34.07555856728747,0.13122940063476562,,-34.07555856728747,-1.67
0,sfc_unique_p3_1,True,False,,-32.995558567287475,0.13147497177124023,,-32.995558567287475,-21.0
0,sfc_cache_p4_2,True,False,,-21.011143591919964,0.02899336814880371,,-21.011143591919964,-10.0
0,sfc_unique_p4_2,True,False,,-19.597426053405712,0.029247522354125977,,-19.597426053405712,-21.0
0,sfc_cache_p3_3,True,False,,-19.747152443366733,0.0597233772277832,,-19.747152443366733,-6.0
0,sfc_cache_p3_2,True,False,,-20.417426053405713,0.08844113349914551,,-20.417426053405713,-1.67
0,sfc_unique_p3_2,True,False,,-17.487426053405713,0.08852195739746094,,-17.487426053405713,-21.0
0,sfc_cache_p2_2,True,False,,-19.90742605340571,0.11754918098449707,,-19.90742605340571,-1.67
0,sfc_unique_p2_2,True,False,,-15.71742605340571,0.11755752563476562,,-15.71742605340571,-21.0
0,sfc_cache_p1_2,True,False,,-19.63742605340571,0.14741134643554688,,-19.63742605340571,-5.67
2,sfc_unique_p4_4,True,False,,-14.108939816745703,0.04960465431213379,,-14.108939816745703,-21.0
2,sfc_unique_p2_2,True,False,,-14.016219086899941,0.09888625144958496,,-14.016219086899941,-21.0
2,sfc_unique_p4_1,True,False,,-34.01605095080318,0.02954888343811035,,-34.01605095080318,-21.0
2,sfc_unique_p1_2,True,False,,-13.19621908689994,0.1467890739440918,,-13.19621908689994,-21.0
2,sfc_cache_p3_1,True,False,,-35.00253512709908,0.06021404266357422,,-35.00253512709908,-1.67
2,sfc_unique_p3_1,True,False,,-32.06253512709908,0.060511112213134766,,-32.06253512709908,-21.0
2,sfc_cache_p2_2,True,False,,-33.27677496649416,0.10897970199584961,,-33.27677496649416,-1.67
2,sfc_cache_p1_2,True,False,,-31.846774966494156,0.15616178512573242,,-31.846774966494156,-5.67
2,sfc_unique_p4_5,True,False,,-15.02004393322433,0.05499100685119629,,-15.02004393322433,-21.0
2,sfc_unique_p4_4,True,False,,-10.727067007327637,0.10858774185180664,,-10.727067007327637,-21.0
2,sfc_unique_p1_5,True,False,,-7.714097812551843,0.16261887550354004,,-7.714097812551843,-21.0
2,sfc_cache_p3_5,True,False,,-13.467619102097395,0.32605576515197754,,-13.467619102097395,-1.67
2,sfc_unique_p3_5,True,False,,-7.405840348715531,0.3264739513397217,,-7.405840348715531,-21.0
1,sfc_cache_p4_4,True,False,,-19.760594586775483,0.04430985450744629,,-19.760594586775483,-10.0
1,sfc_cache_p3_4,True,False,,-19.540594586775484,0.07601165771484375,,-19.540594586775484,-5.67
1,sfc_cache_p2_4,True,False,,-18.711361224557137,0.12524032592773438,,-18.711361224557137,-1.67
1,sfc_cache_p2_2,True,False,,-16.707493341165886,0.15602350234985352,,-16.707493341165886,-10.0
1,sfc_unique_p2_2,True,False,,-17.707493341165886,0.15578532218933105,,-17.707493341165886,-21.0
1,sfc_cache_p1_4,True,False,,-14.621361224557136,0.1853771209716797,,-14.621361224557136,-1.67
1,sfc_unique_p1_4,True,False,,-16.761361224557135,0.18489599227905273,,-16.761361224557135,-21.0
3,sfc_unique_p1_2,True,False,,-14.137151534511169,0.03702116012573242,,-14.137151534511169,-21.0
2,sfc_unique_p2_3,True,False,,-18.327367725614387,0.05031299591064453,,-18.327367725614387,-21.0
2,sfc_unique_p1_4,True,False,,-20.554786055684065,0.08026695251464844,,-20.554786055684065,-21.0
2,sfc_cache_p2_2,True,False,,-17.859659150995462,0.1086416244506836,,-17.859659150995462,-10.0
3,sfc_unique_p4_5,True,False,,-11.499340669308424,0.05385231971740723,,-11.499340669308424,-21.0
3,sfc_unique_p3_2,True,False,,-8.655100263675324,0.10656332969665527,,-8.655100263675324,-21.0
3,sfc_unique_p1_5,True,False,,-5.146573684950486,0.15828514099121094,,-5.146573684950486,-21.0
3,sfc_cache_p4_6,True,False,,-11.391309833704732,0.20882916450500488,,-11.391309833704732,-6.0
3,sfc_cache_p4_4,True,False,,-9.901555585471002,0.24971699714660645,,-9.901555585471002,-5.67
3,sfc_unique_p4_4,True,False,,-7.6470670073276406,0.24945521354675293,,-7.6470670073276406,-21.0
3,sfc_cache_p3_6,True,False,,-9.138987570132898,0.2794318199157715,,-9.138987570132898,-1.67
3,sfc_cache_p3_5,True,False,,-4.62208985523087,0.3203582763671875,,-4.62208985523087,-1.67
3,sfc_cache_p3_4,True,False,,-6.941555585471001,0.37105846405029297,,-6.941555585471001,-5.67
3,sfc_unique_p3_4,True,False,,-9.13296750310368,0.3707106113433838,,-9.13296750310368,-21.0
3,sfc_cache_p2_6,True,False,,-6.447871921611952,0.4219515323638916,,-6.447871921611952,-6.0
3,sfc_unique_p2_6,True,False,,-3.843547289690564,0.4216287136077881,,-3.843547289690564,-21.0
3,sfc_cache_p2_5,True,False,,-3.842089855230869,0.47292518615722656,,-3.842089855230869,-1.67
3,sfc_cache_p2_4,True,False,,-8.091555585471001,0.5214080810546875,,-8.091555585471001,-1.67
3,sfc_unique_p2_4,True,False,,-2.6697056415216363,0.5206623077392578,,-2.6697056415216363,-21.0
3,sfc_unique_p4_1,True,False,,-35.36967168888894,0.0513148307800293,,-35.36967168888894,-21.0
3,sfc_unique_p2_1,True,False,,-33.87421952550087,0.10103845596313477,,-33.87421952550087,-21.0
3,sfc_cache_p1_1,True,False,,-34.57039457521032,0.15009117126464844,,-34.57039457521032,-5.67
3,sfc_unique_p1_1,True,False,,-30.877645389287878,0.15079426765441895,,-30.877645389287878,-21.0
4,sfc_unique_p3_5,True,False,,-33.67787847666966,0.04993247985839844,,-33.67787847666966,-21.0
4,sfc_unique_p1_2,True,False,,-26.138524576165032,0.09971499443054199,,-26.138524576165032,-21.0
4,sfc_cache_p4_5,True,False,,-34.59059186323528,0.14744186401367188,,-34.59059186323528,-6.0
4,sfc_cache_p1_5,True,False,,-35.2837976333166,0.3059549331665039,,-35.2837976333166,-6.0
3,sfc_unique_p3_4,True,False,,-19.739015612530075,0.04449057579040527,,-19.739015612530075,-21.0
3,sfc_unique_p2_3,True,False,,-17.035573469121317,0.08337068557739258,,-17.035573469121317,-21.0
3,sfc_unique_p1_5,True,False,,-22.723992191115165,0.11797118186950684,,-22.723992191115165,-21.0
3,sfc_unique_p1_4,True,False,,-16.999015612530073,0.15278410911560059,,-16.999015612530073,-21.0
3,sfc_unique_p1_2,True,False,,-10.805914366920472,0.18603038787841797,,-10.805914366920472,-21.0
3,sfc_cache_p2_4,True,False,,-16.949015612530072,0.21817898750305176,,-16.949015612530072,-5.67
