crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,affected_by_high_risk_node,affected_by_med_risk_node,affected_by_low_risk_node,avg_latency_before,avg_latency_after,affected_percentage,avg_latency_diff
0,1769883077.3633661,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
1,1769883109.2040396,2,5,0,5,0,55.2863,0.0000,9.62,0.0000
2,1769883110.9147284,2,7,0,7,0,55.0333,0.0000,14.00,0.0000
3,1769883117.334987,2,7,7,0,0,56.1429,0.0000,15.91,0.0000
4,1769883139.144454,2,11,11,0,0,54.7729,0.0000,26.19,0.0000
5,1769883152.2755737,2,34,34,0,0,55.1634,0.0000,170.00,0.0000
6,1769883190.3950639,2,10,10,0,0,54.6557,0.0000,25.00,0.0000
7,1769883193.935406,2,12,0,12,0,54.5194,0.0000,28.57,0.0000
8,1769883250.6543498,2,9,9,0,0,54.0484,0.0000,23.68,0.0000
9,1769883387.2039845,2,2,0,2,0,55.0548,0.0000,3.57,0.0000
10,1769883403.474679,2,6,6,0,0,54.7145,0.0000,15.79,0.0000
11,1769883454.0753682,2,14,14,0,0,54.0678,0.0000,41.18,0.0000
12,1769883490.9852097,2,10,0,10,0,53.4683,0.0000,33.33,0.0000
13,1769883492.0496004,2,5,0,5,0,56.7505,0.0000,11.90,0.0000
14,1769883499.2853634,2,10,10,0,0,54.8924,0.0000,26.32,0.0000
15,1769883786.7198203,2,21,0,21,0,54.9977,0.0000,75.00,0.0000
16,1769883798.3167992,2,18,0,18,0,54.5740,0.0000,69.23,0.0000
17,1769883821.135581,2,31,31,0,0,54.6059,0.0000,387.50,0.0000
18,1769883856.0147965,2,11,0,11,0,54.3826,0.0000,34.38,0.0000
19,1769883965.1340508,2,4,4,0,0,56.7225,0.0000,10.53,0.0000
