crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,affected_by_high_risk_node,affected_by_med_risk_node,affected_by_low_risk_node,avg_latency_before,avg_latency_after,affected_percentage,avg_latency_diff
0,1769878637.823484,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
1,1769878714.1145928,2,8,0,0,8,45.8999,0.0000,40.00,0.0000
2,1769878763.1558044,2,21,0,0,21,45.6415,0.0000,131.25,0.0000
3,1769878811.8143296,2,11,0,0,11,45.2968,0.0000,78.57,0.0000
4,1769879036.5145874,2,10,0,0,10,45.6558,0.0000,41.67,0.0000
5,1769879053.2447112,2,15,0,0,15,45.5539,0.0000,93.75,0.0000
6,1769879072.804159,2,5,0,0,5,45.3513,0.0000,13.16,0.0000
7,1769879103.555657,2,16,0,0,16,45.4921,0.0000,61.54,0.0000
8,1769879115.524811,2,18,0,0,18,45.5288,0.0000,128.57,0.0000
9,1769879290.7552795,2,11,0,0,11,45.5640,0.0000,55.00,0.0000
10,1769879340.0858843,2,14,0,0,14,45.7281,0.0000,175.00,0.0000
11,1769879353.5453112,2,12,0,0,12,45.2956,0.0000,54.55,0.0000
12,1769879360.9747977,2,16,0,0,16,45.5959,0.0000,133.33,0.0000
13,1769879400.0549343,2,10,0,0,10,45.5962,0.0000,29.41,0.0000
14,1769879418.1950896,2,16,0,0,16,46.0154,0.0000,114.29,0.0000
15,1769879432.125192,2,19,0,0,19,45.6388,0.0000,135.71,0.0000
16,1769879559.0651157,2,16,0,0,16,45.8733,0.0000,72.73,0.0000
17,1769879581.5149288,2,9,0,0,9,45.5501,0.0000,45.00,0.0000
18,1769879583.8177326,2,7,0,0,7,45.3381,0.0000,29.17,0.0000
19,1769879605.303251,2,16,0,0,16,45.8380,0.0000,200.00,0.0000
