crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,high_risk_count,medium_risk_count,low_risk_count
0,1769447153.1396809,2,1,0,1,0
1,1769447163.849614,2,6,6,0,0
2,1769447177.7596052,2,6,6,0,0
3,1769447189.5896106,2,7,7,0,0
4,1769447221.9396718,2,15,15,0,0
5,1769447247.9896445,2,12,12,0,0
6,1769447262.9196439,2,11,11,0,0
7,1769447267.8796616,2,15,15,0,0
8,1769447283.4996011,2,5,5,0,0
9,1769447284.039562,2,3,3,0,0
10,1769447340.639694,2,21,21,0,0
11,1769447379.9396605,2,16,16,0,0
12,1769447408.6796515,2,12,12,0,0
13,1769447413.9096408,2,11,11,0,0
14,1769447454.721001,2,20,20,0,0
15,1769447456.4201508,2,16,16,0,0
16,1769447465.059643,2,13,13,0,0
17,1769447496.8796263,2,9,9,0,0
18,1769447552.349677,2,15,15,0,0
19,1769447632.5027637,2,16,16,0,0
20,1769447692.089672,2,15,15,0,0
21,1769447698.8296628,2,16,16,0,0
22,1769447714.4996696,2,17,17,0,0
23,1769447776.799708,2,15,15,0,0
24,1769447782.3196692,2,13,13,0,0
25,1769447803.4338846,2,9,9,0,0
26,1769447810.839614,2,7,7,0,0
27,1769447853.4596434,2,12,12,0,0
28,1769447880.939842,2,18,18,0,0
29,1769447881.9818947,2,6,6,0,0
30,1769447904.5197146,2,19,19,0,0
31,1769447955.1530578,2,13,13,0,0
32,1769447969.4896395,2,13,13,0,0
33,1769447972.0236244,2,13,13,0,0
34,1769448008.2896233,2,8,8,0,0
35,1769448028.469634,2,12,12,0,0
36,1769448046.4697356,2,16,16,0,0
37,1769448053.7096508,2,13,13,0,0
38,1769448062.7409592,2,12,12,0,0
39,1769448097.1750894,2,11,11,0,0
