crash_trial, timestamp         , nodes_crashed_count, total_affected_sfcs, high_risk_count, medium_risk_count, low_risk_count
          0, 1769388213.580856 ,                   2,                   0,               0,                 0,              0
          1, 1769388221.9511855,                   2,                   6,               4,                 2,              0
          2, 1769388314.8102062,                   2,                   9,               9,                 0,              0
          3, 1769388334.0403674,                   2,                   6,               6,                 0,              0
          4, 1769388341.2199576,                   2,                  15,              15,                 0,              0
          5, 1769388357.0499568,                   2,                  12,              12,                 0,              0
          6, 1769388409.7008088,                   2,                  18,              18,                 0,              0
          7, 1769388425.3107264,                   2,                  16,              16,                 0,              0
          8, 1769388435.515518 ,                   2,                   6,               6,                 0,              0
          9, 1769388456.7735925,                   2,                  18,              18,                 0,              0
         10, 1769388468.4511383,                   2,                  22,              22,                 0,              0
         11, 1769388473.6538363,                   2,                  15,              15,                 0,              0
         12, 1769388477.9001923,                   2,                   6,               6,                 0,              0
         13, 1769388491.2999694,                   2,                   9,               9,                 0,              0
         14, 1769388505.438172 ,                   2,                  16,              16,                 0,              0
         15, 1769388521.4504282,                   2,                   9,               9,                 0,              0
         16, 1769388538.10138  ,                   2,                  15,              15,                 0,              0
         17, 1769388539.7175746,                   2,                  15,              15,                 0,              0
         18, 1769388568.0011146,                   2,                  12,              12,                 0,              0
         19, 1769388584.3301067,                   2,                   9,               9,                 0,              0
         20, 1769388585.8097675,                   2,                  10,              10,                 0,              0
         21, 1769388617.397801 ,                   2,                  21,              21,                 0,              0
         22, 1769388639.6100547,                   2,                   9,               9,                 0,              0
         23, 1769388643.1541817,                   2,                  19,              19,                 0,              0
         24, 1769388646.197807 ,                   2,                   8,               8,                 0,              0
         25, 1769388656.8447578,                   2,                  10,              10,                 0,              0
         26, 1769388696.2511938,                   2,                  13,              13,                 0,              0
         27, 1769388705.950863 ,                   2,                  11,              11,                 0,              0
         28, 1769388740.260441 ,                   2,                  15,              15,                 0,              0
         29, 1769388768.1613097,                   2,                  15,              15,                 0,              0
         30, 1769388830.3803182,                   2,                  13,              13,                 0,              0
         31, 1769388866.6882842,                   2,                  15,              15,                 0,              0
         32, 1769388931.0661495,                   2,                  16,              16,                 0,              0
         33, 1769388949.512534 ,                   2,                  22,              22,                 0,              0
         34, 1769388970.7100434,                   2,                  15,              15,                 0,              0
         35, 1769388974.4396327,                   2,                  10,              10,                 0,              0
         36, 1769388984.891832 ,                   2,                  10,              10,                 0,              0
         37, 1769388997.7993462,                   2,                  28,              28,                 0,              0
         38, 1769389010.2912302,                   2,                   6,               6,                 0,              0
         39, 1769389025.08941  ,                   2,                  11,              11,                 0,              0
         40, 1769389046.6429965,                   2,                  19,              19,                 0,              0
         41, 1769389062.2255557,                   2,                  12,              12,                 0,              0
         42, 1769389091.1160364,                   2,                  22,              22,                 0,              0
         43, 1769389092.9010766,                   2,                  12,              12,                 0,              0
         44, 1769389100.9501164,                   2,                   9,               9,                 0,              0
         45, 1769389120.5269399,                   2,                  21,              21,                 0,              0
         46, 1769389122.3776505,                   2,                   4,               4,                 0,              0
         47, 1769389137.4874814,                   2,                  12,              12,                 0,              0
