crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,affected_by_high_risk_node,affected_by_med_risk_node,affected_by_low_risk_node,avg_latency_before,avg_latency_after,affected_percentage,avg_latency_diff
0,1770136208.029108,2,4,0,0,4,15.6249,0.0000,25.00,0.0000
1,1770136399.0294833,2,12,0,12,0,15.7902,0.0000,40.00,0.0000
2,1770136426.7193594,2,12,0,0,12,16.5636,0.0000,100.00,0.0000
3,1770136452.2387254,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
4,1770136535.7890322,2,4,0,4,0,16.4494,0.0000,9.52,0.0000
5,1770136645.678987,2,3,0,3,0,16.3156,0.0000,9.38,0.0000
6,1770136652.8689575,2,1,0,1,0,15.4299,0.0000,2.63,0.0000
7,1770136678.219052,2,6,0,0,6,16.7089,0.0000,27.27,0.0000
8,1770136694.089232,2,12,0,0,12,16.0011,0.0000,66.67,0.0000
9,1770136824.2492156,2,7,0,0,7,16.0082,0.0000,25.00,0.0000
10,1770136833.2491846,2,5,0,0,5,17.1681,0.0000,19.23,0.0000
11,1770136852.8487058,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
12,1770136870.488748,2,1,0,0,1,15.0598,0.0000,3.12,0.0000
13,1770136912.4987037,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
14,1770136918.9487088,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
15,1770136919.6087155,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
16,1770137025.979039,2,6,0,0,6,16.6715,0.0000,15.79,0.0000
17,1770137042.1092713,2,8,0,0,8,17.2157,0.0000,26.67,0.0000
18,1770137044.0388768,2,1,0,1,0,15.5456,0.0000,3.57,0.0000
19,1770137049.6589386,2,1,0,1,0,15.4239,0.0000,2.94,0.0000
