crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,high_risk_count,medium_risk_count,low_risk_count
0,1769383094.6162095,2,0,0,0,0
1,1769383114.7263212,2,0,0,0,0
2,1769383119.9862742,2,0,0,0,0
3,1769383163.915914,2,1,1,0,0
4,1769383171.786296,2,0,0,0,0
5,1769383233.0958505,2,3,3,0,0
6,1769383297.3663058,2,2,2,0,0
7,1769383299.765428,2,1,1,0,0
8,1769383301.3555648,2,1,1,0,0
9,1769383316.8756633,2,0,0,0,0
10,1769383326.196168,2,1,1,0,0
11,1769383329.5554132,2,0,0,0,0
12,1769383330.8857856,2,1,1,0,0
13,1769383358.4856925,2,9,9,0,0
14,1769383374.6156929,2,1,1,0,0
15,1769383397.5760455,2,0,0,0,0
16,1769383415.6262183,2,0,0,0,0
17,1769383425.3058732,2,0,0,0,0
18,1769383428.2357395,2,2,0,1,1
19,1769383433.5650618,2,5,4,0,1
20,1769383435.122474,2,1,1,0,0
21,1769383471.0659227,2,1,1,0,0
22,1769383499.1761742,2,1,1,0,0
23,1769383504.0860014,2,2,2,0,0
24,1769383519.2255743,2,5,3,1,1
25,1769383523.345677,2,6,6,0,0
26,1769383534.98822,2,1,1,0,0
27,1769383568.3756409,2,0,0,0,0
28,1769383580.8462603,2,4,2,1,1
29,1769383592.6661558,2,2,2,0,0
30,1769383596.185382,2,2,2,0,0
31,1769383617.0761087,2,0,0,0,0
32,1769383619.7380621,2,1,1,0,0
33,1769383625.2560737,2,2,2,0,0
34,1769383626.8958988,2,1,1,0,0
35,1769383645.4538038,2,7,4,2,1
36,1769383660.1354065,2,0,0,0,0
37,1769383688.5261695,2,5,1,1,3
38,1769383690.025465,2,0,0,0,0
39,1769383766.095597,2,2,2,0,0
40,1769383793.4257355,2,4,3,0,1
41,1769383830.5261276,2,2,2,0,0
42,1769383879.6355867,2,0,0,0,0
43,1769383907.235471,2,1,1,0,0
44,1769383939.6258154,2,2,2,0,0
45,1769383947.4053776,2,3,2,1,0
46,1769383993.3053775,2,3,3,0,0
47,1769383994.515348,2,1,1,0,0
48,1769384004.6002707,2,0,0,0,0
