crash_trial,sfc_id,vnf_id,recover_success,backup_success,backup_efficient,latency_diff,latency_deg,resource_deg,time_to_recover
3,sfc_unique_p4_4,unknown,False,False,0,0,0,0,0
4,sfc_cache_p2_8,unknown,False,False,0,0,0,0,0
4,sfc_cache_p4_8,unknown,False,False,0,0,0,0,0
4,sfc_cache_p6_8,unknown,False,False,0,0,0,0,0
4,sfc_unique_p5_6,unknown,False,False,0,0,0,0,0
4,sfc_unique_p2_7,unknown,False,False,0,0,0,0,0
4,sfc_cache_p3_8,unknown,False,False,0,0,0,0,0
4,sfc_cache_p1_4,unknown,False,False,0,0,0,0,0
5,sfc_cache_p2_5,unknown,False,False,0,0,0,0,0
5,sfc_cache_p5_7,unknown,False,False,0,0,0,0,0
6,sfc_cache_p5_8,unknown,False,False,0,0,0,0,0
6,sfc_unique_p3_7,unknown,False,False,0,0,0,0,0
6,sfc_unique_p3_8,unknown,False,False,0,0,0,0,0
8,sfc_cache_p5_12,unknown,False,False,0,0,0,0,0
8,sfc_cache_p3_6,unknown,False,False,0,0,0,0,0
8,sfc_unique_p4_12,unknown,False,False,0,0,0,0,0
8,sfc_unique_p6_12,unknown,False,False,0,0,0,0,0
9,sfc_unique_p4_14,unknown,False,False,0,0,0,0,0
10,sfc_unique_p2_14,unknown,False,False,0,0,0,0,0
11,sfc_cache_p2_15,unknown,False,False,0,0,0,0,0
13,sfc_unique_p1_18,unknown,False,False,0,0,0,0,0
13,sfc_unique_p2_18,unknown,False,False,0,0,0,0,0
13,sfc_cache_p5_15,unknown,False,False,0,0,0,0,0
13,sfc_cache_p3_16,unknown,False,False,0,0,0,0,0
13,sfc_cache_p1_16,unknown,False,False,0,0,0,0,0
13,sfc_unique_p6_15,unknown,False,False,0,0,0,0,0
13,sfc_unique_p6_18,unknown,False,False,0,0,0,0,0
13,sfc_unique_p6_16,unknown,False,False,0,0,0,0,0
13,sfc_cache_p2_16,unknown,False,False,0,0,0,0,0
14,sfc_unique_p1_15,unknown,False,False,0,0,0,0,0
15,sfc_cache_p5_16,unknown,False,False,0,0,0,0,0
15,sfc_unique_p1_16,unknown,False,False,0,0,0,0,0
15,sfc_unique_p2_21,unknown,False,False,0,0,0,0,0
15,sfc_cache_p1_17,unknown,False,False,0,0,0,0,0
15,sfc_cache_p3_19,unknown,False,False,0,0,0,0,0
15,sfc_unique_p6_16,unknown,False,False,0,0,0,0,0
15,sfc_unique_p1_21,unknown,False,False,0,0,0,0,0
16,sfc_cache_p1_16,unknown,False,False,0,0,0,0,0
16,sfc_unique_p3_20,unknown,False,False,0,0,0,0,0
17,sfc_cache_p1_22,unknown,False,False,0,0,0,0,0
19,sfc_cache_p2_22,unknown,False,False,0,0,0,0,0
19,sfc_cache_p4_22,unknown,False,False,0,0,0,0,0
19,sfc_cache_p6_22,unknown,False,False,0,0,0,0,0
19,sfc_unique_p3_23,unknown,False,False,0,0,0,0,0
19,sfc_cache_p3_22,unknown,False,False,0,0,0,0,0
19,sfc_cache_p1_22,unknown,False,False,0,0,0,0,0
19,sfc_unique_p1_23,unknown,False,False,0,0,0,0,0
20,sfc_cache_p2_17,unknown,False,False,0,0,0,0,0
20,sfc_cache_p6_17,unknown,False,False,0,0,0,0,0
20,sfc_cache_p6_19,unknown,False,False,0,0,0,0,0
20,sfc_cache_p3_17,unknown,False,False,0,0,0,0,0
20,sfc_cache_p4_20,unknown,False,False,0,0,0,0,0
21,sfc_cache_p4_26,unknown,False,False,0,0,0,0,0
21,sfc_cache_p6_26,unknown,False,False,0,0,0,0,0
21,sfc_cache_p2_23,unknown,False,False,0,0,0,0,0
21,sfc_cache_p5_26,unknown,False,False,0,0,0,0,0
21,sfc_unique_p2_27,unknown,False,False,0,0,0,0,0
21,sfc_cache_p1_28,unknown,False,False,0,0,0,0,0
21,sfc_unique_p2_28,unknown,False,False,0,0,0,0,0
22,sfc_cache_p3_25,unknown,False,False,0,0,0,0,0
22,sfc_cache_p5_26,unknown,False,False,0,0,0,0,0
