crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,affected_by_high_risk_node,affected_by_med_risk_node,affected_by_low_risk_node,avg_latency_before,avg_latency_after,affected_percentage,avg_latency_diff
0,1769987571.4132342,2,8,8,0,0,27.3758,0.0000,33.33,0.0000
1,1769987618.242676,2,7,7,0,0,27.2926,0.0000,25.00,0.0000
2,1769987664.3326218,2,4,4,0,0,28.4007,0.0000,11.76,0.0000
3,1769987664.903069,2,12,12,0,0,27.3368,0.0000,60.00,0.0000
4,1769987667.0728161,2,9,9,0,0,26.8720,0.0000,34.62,0.0000
5,1769987769.9029105,2,10,10,0,0,27.1155,0.0000,31.25,0.0000
6,1769987794.3032532,2,12,12,0,0,26.6750,0.0000,35.29,0.0000
7,1769987915.3841538,2,14,14,0,0,27.0898,0.0000,77.78,0.0000
8,1769987940.6839612,2,11,11,0,0,26.7319,0.0000,55.00,0.0000
9,1769987981.7245312,2,11,11,0,0,26.7487,0.0000,50.00,0.0000
10,1769988023.18431,2,15,15,0,0,27.5907,0.0000,57.69,0.0000
11,1769988079.3244345,2,13,13,0,0,27.4561,0.0000,40.62,0.0000
12,1769988114.5131538,2,8,8,0,0,27.7145,0.0000,14.81,0.0000
13,1769988146.354442,2,15,15,0,0,27.6892,0.0000,37.50,0.0000
14,1769988269.7539577,2,13,13,0,0,26.6568,0.0000,46.43,0.0000
15,1769988294.8736038,2,14,14,0,0,27.3058,0.0000,70.00,0.0000
16,1769988416.7733843,2,8,8,0,0,27.0403,0.0000,19.05,0.0000
