crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,high_risk_count,medium_risk_count,low_risk_count,avg_latency_before,avg_latency_after,affected_percentage,avg_latency_diff
0,1769873276.198796,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
1,1769873278.388864,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
2,1769873304.3492532,2,6,0,1,5,19.3083,0.0000,25.00,0.0000
3,1769873305.9587257,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
4,1769873341.0887477,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
5,1769873506.9987185,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
6,1769873525.7204885,2,23,11,8,4,19.6616,0.0000,38.33,0.0000
7,1769873549.9197235,2,14,9,3,2,19.4334,0.0000,23.33,0.0000
8,1769873565.2222202,2,26,17,2,7,19.7502,0.0000,37.14,0.0000
9,1769873573.2297738,2,13,4,6,3,19.8074,0.0000,22.41,0.0000
10,1769873588.389683,2,11,10,1,0,19.9812,0.0000,18.97,0.0000
