crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,high_risk_count,medium_risk_count,low_risk_count
0,1769437202.7703178,2,0,0,0,0
1,1769437210.6702769,2,0,0,0,0
2,1769437292.650365,2,12,12,0,0
3,1769437298.4803686,2,9,9,0,0
4,1769437313.1502972,2,1,1,0,0
5,1769437317.0660625,2,11,11,0,0
6,1769437323.5703332,2,5,5,0,0
7,1769437373.8803475,2,5,5,0,0
8,1769437379.5802722,2,6,6,0,0
9,1769437419.5018952,2,7,7,0,0
10,1769437440.1209495,2,9,9,0,0
11,1769437454.3203654,2,6,6,0,0
12,1769437489.573979,2,15,15,0,0
13,1769437523.5802777,2,7,7,0,0
14,1769437617.6603708,2,10,10,0,0
15,1769437619.9405043,2,12,12,0,0
16,1769437714.2203813,2,8,8,0,0
17,1769437721.9586685,2,10,10,0,0
18,1769437735.9574158,2,11,11,0,0
19,1769437736.58852,2,19,19,0,0
20,1769437738.9855447,2,12,12,0,0
21,1769437745.5103104,2,2,2,0,0
22,1769437784.8403392,2,5,5,0,0
23,1769437815.510492,2,15,15,0,0
24,1769437818.3089104,2,8,8,0,0
25,1769437828.1503286,2,5,5,0,0
26,1769437828.5414016,2,3,3,0,0
27,1769437847.8902984,2,2,2,0,0
28,1769437851.7702851,2,5,5,0,0
29,1769437865.1204443,2,9,9,0,0
30,1769437866.080511,2,3,3,0,0
31,1769437910.3703094,2,14,14,0,0
32,1769437925.8403397,2,7,6,1,0
33,1769437932.950322,2,4,4,0,0
34,1769437934.5103097,2,3,3,0,0
35,1769437965.0205116,2,11,11,0,0
36,1769437967.6204362,2,10,10,0,0
37,1769437979.6403651,2,13,13,0,0
38,1769438028.9103503,2,9,9,0,0
39,1769438093.9803836,2,8,8,0,0
