crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,affected_by_high_risk_node,affected_by_med_risk_node,affected_by_low_risk_node,avg_latency_before,avg_latency_after,affected_percentage,avg_latency_diff
0,1769893915.128195,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
1,1769893929.0987163,2,1,0,0,1,23.5815,0.0000,4.55,0.0000
2,1769893950.5885718,2,3,0,0,3,23.5891,0.0000,10.00,0.0000
3,1769894048.7984922,2,2,0,0,2,23.9559,0.0000,3.45,0.0000
4,1769894070.449215,2,5,0,0,5,25.0228,0.0000,10.42,0.0000
5,1769894100.2084942,2,2,0,0,2,24.3209,0.0000,6.25,0.0000
6,1769894102.498177,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
7,1769894173.9186106,2,3,0,0,3,23.5030,0.0000,5.77,0.0000
8,1769894293.4587083,2,4,0,0,4,24.5427,0.0000,8.33,0.0000
9,1769894369.3290029,2,6,0,0,6,24.6822,0.0000,12.50,0.0000
10,1769894406.778178,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
11,1769894419.3493478,2,12,0,0,12,23.7225,0.0000,75.00,0.0000
12,1769894465.1682706,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
13,1769894516.9485228,2,3,0,0,3,26.0560,0.0000,5.77,0.0000
14,1769894644.2796,2,14,0,0,14,23.3801,0.0000,63.64,0.0000
15,1769894690.5586288,2,3,0,0,3,23.7412,0.0000,6.00,0.0000
16,1769894727.249532,2,7,0,0,7,25.3325,0.0000,12.07,0.0000
17,1769894731.2887099,2,1,0,0,1,24.6057,0.0000,1.47,0.0000
18,1769894766.6009858,2,0,0,0,0,0.0000,0.0000,0.00,0.0000
19,1769894815.3109324,2,6,0,0,6,24.2505,0.0000,15.79,0.0000
