crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,affected_by_high_risk_node,affected_by_med_risk_node,affected_by_low_risk_node,avg_latency_before,avg_latency_after,affected_percentage,avg_latency_diff
0,1771178874.0743244,2,2,0,2,0,33.1021,34.0321,5.00,0.9300
1,1771178876.6443882,2,3,0,3,0,33.4471,33.1187,7.89,0.4944
2,1771178905.4541295,2,1,0,1,0,32.6725,0.0000,2.63,0.0000
3,1771179037.1941783,2,2,0,2,0,33.5201,32.9787,5.00,-0.5414
4,1771179228.724274,2,1,0,1,0,33.6467,33.0284,2.08,-0.6183
5,1771179230.5479724,2,21,0,21,0,33.3665,33.6950,43.75,0.3285
6,1771179286.3348181,2,3,0,3,0,34.9088,34.9118,6.25,0.0031
7,1771179346.5340974,2,1,0,1,0,34.4770,34.3151,2.50,-0.1620
8,1771179394.61519,2,11,0,11,0,33.4051,34.1787,22.92,0.7736
9,1771179403.8256094,2,7,0,7,0,33.7778,33.4083,15.22,-1.7985
10,1771179441.4845798,2,8,0,8,0,28.6648,33.1204,16.67,0.3607
11,1771179482.9350548,2,4,0,4,0,34.2413,33.5217,8.33,-0.7196
12,1771179519.8843203,2,1,0,1,0,34.1213,33.9649,2.50,-0.1564
13,1771179602.9955437,2,14,0,14,0,33.3833,33.5780,29.17,0.1947
14,1771179607.3547077,2,7,0,7,0,33.2651,34.8341,14.00,1.4772
15,1771179709.276855,2,23,0,23,0,33.2292,33.5621,60.53,0.4048
