crash_trial,timestamp,nodes_crashed_count,total_affected_sfcs,affected_by_high_risk_node,affected_by_med_risk_node,affected_by_low_risk_node,avg_latency_before,avg_latency_after,affected_percentage,avg_latency_diff
0,1771176640.6078827,2,4,0,4,0,19.1176,19.7263,10.00,0.6087
1,1771176705.8574004,2,2,0,2,0,18.9914,18.8045,5.00,-0.1868
2,1771176922.4171305,2,2,0,2,0,19.0427,18.7096,4.17,-0.3331
3,1771176928.3270211,2,1,0,1,0,22.0996,20.2276,2.08,-1.8720
4,1771176958.3472254,2,1,0,1,0,20.0904,18.2184,2.08,-1.8720
5,1771176980.4171476,2,2,0,2,0,19.1454,18.2199,3.57,-0.9255
6,1771177094.3270397,2,1,0,1,0,18.9930,17.2419,2.08,-1.7511
7,1771177103.736998,2,1,0,1,0,20.2788,19.1493,2.08,-1.1295
8,1771177268.0981991,2,6,0,6,0,19.1993,19.6839,10.71,0.4846
9,1771177276.9380283,2,2,0,2,0,18.5151,0.0000,4.55,0.0000
10,1771177291.5085871,2,8,0,8,0,19.3548,19.2919,14.29,-0.0628
