No.,timestamp,time_seconds,users,cpu_utilization,bandwidth_utilization,cache_utilization,cpu_resilient,cache_resilient,bw_resilient,latency,latency_diff,wait_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing
0,1739149755.3026416,0,1,0.0258,0.0064,0.0275,0.0258,0.0275,0.0319,5,None,None,27.471,True,None,sfc_cache_p1_1,0,None,0,0,1,2,1,1,0,False
0,1739149755.333807,0.0,1,0.0258,0.0064,0.0275,0.0258,0.0275,0.0319,5,None,None,28.059,True,None,sfc_unique_p1_1,0,None,0,0,1,2,1,1,0,False
0,1739149755.375926,0.1,2,0.0447,0.0128,0.0275,0.0447,0.0275,0.0638,5,None,None,20.978,True,None,sfc_cache_p2_1,0,None,8.333333333333332,33.0,5,4,2,1,0,False
0,1739149755.4005601,0.1,2,0.0447,0.0128,0.0275,0.0447,0.0275,0.0638,5,None,None,21.227,True,None,sfc_unique_p2_1,0,None,8.333333333333332,33.0,5,4,2,1,0,False
0,1739149755.440636,0.1,3,0.0636,0.0191,0.0275,0.0636,0.0275,0.0957,5,None,None,21.294,True,None,sfc_cache_p3_1,0,None,16.666666666666664,66.0,9,6,3,1,0,False
0,1739149755.4657207,0.2,3,0.0636,0.0191,0.0275,0.0636,0.0275,0.0957,5,None,None,21.286,True,None,sfc_unique_p3_1,0,None,16.666666666666664,66.0,9,6,3,1,0,False
0,1739149755.5072808,0.2,4,0.0825,0.0255,0.0275,0.0825,0.0275,0.1277,5,None,None,21.428,True,None,sfc_cache_p4_1,0,None,25.0,99.0,13,8,4,1,0,False
0,1739149755.5331023,0.2,4,0.0825,0.0255,0.0275,0.0825,0.0275,0.1277,5,None,None,21.573,True,None,sfc_unique_p4_1,0,None,25.0,99.0,13,8,4,1,0,False
0,1739149778.296605,23.0,6,0.1083,0.0305,0.055,0.1083,0.055,0.1527,4,None,None,21.109,True,None,sfc_cache_p1_2,0,None,25.0,99.0,14,10,5,2,0,False
0,1739149778.3222497,23.0,6,0.1083,0.0305,0.055,0.1083,0.055,0.1527,4,None,None,21.161,True,None,sfc_unique_p1_2,0,None,25.0,99.0,14,10,5,2,0,False
0,1739149778.3826814,23.1,7,0.1272,0.0356,0.055,0.1272,0.055,0.1778,4,None,None,28.146,True,None,sfc_cache_p2_2,0,None,33.33333333333333,132.0,18,12,6,2,0,False
0,1739149778.4156363,23.1,7,0.1272,0.0356,0.055,0.1272,0.055,0.1778,4,None,None,26.907,True,None,sfc_unique_p2_2,0,None,33.33333333333333,132.0,18,12,6,2,0,False
0,1739149778.4742568,23.2,8,0.1461,0.0406,0.055,0.1461,0.055,0.2028,4,None,None,27.25,True,None,sfc_cache_p3_2,0,None,41.66666666666666,165.0,22,14,7,2,0,False
0,1739149778.5085268,23.2,8,0.1461,0.0406,0.055,0.1461,0.055,0.2028,4,None,None,27.582,True,None,sfc_unique_p3_2,0,None,41.66666666666666,165.0,22,14,7,2,0,False
0,1739149778.571265,23.3,9,0.165,0.0456,0.055,0.165,0.055,0.2279,4,None,None,25.795,True,None,sfc_cache_p4_2,0,None,50.0,198.0,26,16,8,2,0,False
0,1739149778.6038592,23.3,9,0.165,0.0456,0.055,0.165,0.055,0.2279,4,None,None,26.021,True,None,sfc_unique_p4_2,0,None,50.0,198.0,26,16,8,2,0,False
0,1739149806.3028846,51.0,11,0.1908,0.0533,0.0825,0.1908,0.0825,0.2667,6,None,None,21.534,True,None,sfc_cache_p1_3,0,None,50.0,198.0,27,18,9,3,0,False
0,1739149806.3297348,51.0,11,0.1908,0.0533,0.0825,0.1908,0.0825,0.2667,6,None,None,21.219,True,None,sfc_unique_p1_3,0,None,50.0,198.0,27,18,9,3,0,False
0,1739149806.3863196,51.1,12,0.2097,0.0611,0.0825,0.2097,0.0825,0.3054,6,None,None,21.046,True,None,sfc_cache_p2_3,0,None,58.333333333333336,231.0,31,20,10,3,0,False
0,1739149806.4134462,51.1,12,0.2097,0.0611,0.0825,0.2097,0.0825,0.3054,6,None,None,21.081,True,None,sfc_unique_p2_3,0,None,58.333333333333336,231.0,31,20,10,3,0,False
0,1739149806.4673846,51.2,12,0.2132,0.0618,0.0825,0.2132,0.0825,0.3089,5,None,None,20.295,None,None,sfc_unique_backup_p2_3,0,None,58.333333333333336,231.0,31,20,10,3,0,False
0,1739149806.512828,51.2,12,0.2149,0.0623,0.088,0.2149,0.088,0.3113,5,None,None,20.614,None,None,sfc_cache_backup_p2_3,0,None,58.333333333333336,231.0,32,20,10,3,0,False
0,1739149806.5586238,51.3,12,0.2184,0.0629,0.088,0.2184,0.088,0.3147,5,None,None,20.156,None,None,sfc_unique_backup_p1_3,0,None,58.333333333333336,231.0,33,20,10,3,0,False
0,1739149806.6055667,51.3,12,0.2187,0.0634,0.088,0.2187,0.088,0.3171,5,None,None,20.601,None,None,sfc_cache_backup_p1_3,0,None,60.0,237.6,36,20,10,3,0,False
0,1739149806.653602,51.4,12,0.2222,0.0642,0.088,0.2222,0.088,0.3211,5,None,None,20.622,None,None,sfc_unique_backup_p4_2,0,None,60.0,237.6,36,20,10,3,0,False
0,1739149806.701937,51.4,12,0.2238,0.0646,0.0935,0.2238,0.0935,0.3232,5,None,None,20.277,None,None,sfc_cache_backup_p4_2,0,None,60.0,237.6,37,20,10,3,0,False
0,1739149806.7514193,51.4,12,0.2273,0.0654,0.0935,0.2273,0.0935,0.3272,5,None,None,20.685,None,None,sfc_unique_backup_p3_2,0,None,60.0,237.6,38,20,10,3,0,False
0,1739149806.8013742,51.5,12,0.2276,0.0659,0.0935,0.2276,0.0935,0.3293,5,None,None,20.18,None,None,sfc_cache_backup_p3_2,0,None,61.66666666666667,244.2,41,20,10,3,0,False
0,1739149806.8526726,51.6,12,0.2311,0.0667,0.0935,0.2311,0.0935,0.3333,5,None,None,20.679,None,None,sfc_unique_backup_p2_2,0,None,61.66666666666667,244.2,42,20,10,3,0,False
0,1739149806.904328,51.6,12,0.2314,0.0671,0.0935,0.2314,0.0935,0.3354,5,None,None,20.321,None,None,sfc_cache_backup_p2_2,0,None,63.33333333333334,250.79999999999998,45,20,10,3,0,False
0,1739149806.957124,51.7,12,0.2349,0.0679,0.0935,0.2349,0.0935,0.3394,5,None,None,20.704,None,None,sfc_unique_backup_p1_2,0,None,63.33333333333334,250.79999999999998,46,20,10,3,0,False
0,1739149807.0105526,51.7,12,0.2352,0.0683,0.0935,0.2352,0.0935,0.3415,5,None,None,20.338,None,None,sfc_cache_backup_p1_2,0,None,65.0,257.4,49,20,10,3,0,False
0,1739149807.0646894,51.8,12,0.2387,0.0689,0.0935,0.2387,0.0935,0.3446,4,None,None,20.446,None,None,sfc_unique_backup_p4_1,0,None,65.0,257.4,49,20,10,3,0,False
0,1739149807.1192899,51.8,12,0.2403,0.0694,0.099,0.2403,0.099,0.3472,6,None,None,19.982,None,None,sfc_cache_backup_p4_1,0,None,65.0,257.4,50,20,10,3,0,False
0,1739149807.1752098,51.9,12,0.2438,0.0701,0.099,0.2438,0.099,0.3503,4,None,None,20.429,None,None,sfc_unique_backup_p3_1,0,None,65.0,257.4,51,20,10,3,0,False
0,1739149807.2312388,51.9,12,0.2441,0.0706,0.099,0.2441,0.099,0.3529,6,None,None,19.93,None,None,sfc_cache_backup_p3_1,0,None,66.66666666666667,264.0,54,20,10,3,0,False
0,1739149807.288412,52.0,12,0.2476,0.0712,0.099,0.2476,0.099,0.3559,4,None,None,20.245,None,None,sfc_unique_backup_p2_1,0,None,66.66666666666667,264.0,55,20,10,3,0,False
0,1739149807.3460414,52.0,12,0.2479,0.0717,0.099,0.2479,0.099,0.3585,6,None,None,19.889,None,None,sfc_cache_backup_p2_1,0,None,68.33333333333334,270.6,58,20,10,3,0,False
0,1739149807.4050312,52.1,12,0.2514,0.0723,0.099,0.2514,0.099,0.3616,4,None,None,20.447,None,None,sfc_unique_backup_p1_1,0,None,68.33333333333334,270.6,59,20,10,3,0,False
0,1739149807.4644232,52.2,12,0.2517,0.0728,0.099,0.2517,0.099,0.3642,6,None,None,19.964,None,None,sfc_cache_backup_p1_1,0,None,70.0,277.2,62,20,10,3,0,False
0,1739149807.5264149,52.2,13,0.2706,0.0806,0.099,0.2706,0.099,0.4029,6,None,None,21.447,True,None,sfc_cache_p3_3,0,None,78.33333333333334,310.2,66,22,11,3,0,False
0,1739149807.55861,52.3,13,0.2706,0.0806,0.099,0.2706,0.099,0.4029,6,None,None,21.464,True,None,sfc_unique_p3_3,0,None,78.33333333333334,310.2,66,22,11,3,0,False
0,1739149807.6405747,52.3,14,0.2894,0.0883,0.099,0.2894,0.099,0.4417,6,None,None,21.736,True,None,sfc_cache_p4_3,0,None,86.66666666666667,343.2,70,24,12,3,0,False
0,1739149807.6738894,52.4,14,0.2894,0.0883,0.099,0.2894,0.099,0.4417,6,None,None,21.926,True,None,sfc_unique_p4_3,0,None,86.66666666666667,343.2,70,24,12,3,0,False
0,1739149823.3102522,68.0,16,0.3153,0.0961,0.1265,0.3153,0.1265,0.4805,6,None,None,23.118,True,None,sfc_cache_p1_4,0,None,86.66666666666667,343.2,71,26,13,4,0,False
0,1739149823.343408,68.0,16,0.3153,0.0961,0.1265,0.3153,0.1265,0.4805,6,None,None,20.948,True,None,sfc_unique_p1_4,0,None,86.66666666666667,343.2,71,26,13,4,0,False
0,1739149823.437918,68.1,17,0.3342,0.1038,0.1265,0.3342,0.1265,0.5192,6,None,None,21.729,True,None,sfc_cache_p2_4,0,None,95.0,376.2,75,28,14,4,0,False
0,1739149823.4709923,68.2,17,0.3342,0.1038,0.1265,0.3342,0.1265,0.5192,6,None,None,21.335,True,None,sfc_unique_p2_4,0,None,95.0,376.2,75,28,14,4,0,False
0,1739149823.558611,68.3,18,0.3531,0.1116,0.1265,0.3531,0.1265,0.558,6,None,None,24.263,True,None,sfc_cache_p3_4,0,None,103.33333333333333,409.2,79,30,15,4,0,False
0,1739149823.5961776,68.3,18,0.3531,0.1116,0.1265,0.3531,0.1265,0.558,6,None,None,23.046,True,None,sfc_unique_p3_4,0,None,103.33333333333333,409.2,79,30,15,4,0,False
0,1739149823.688604,68.4,19,0.3719,0.1194,0.1265,0.3719,0.1265,0.5968,6,None,None,22.945,True,None,sfc_cache_p4_4,0,None,111.66666666666666,442.2,83,32,16,4,0,False
0,1739149823.7255843,68.4,19,0.3719,0.1194,0.1265,0.3719,0.1265,0.5968,6,None,None,23.278,True,None,sfc_unique_p4_4,0,None,111.66666666666666,442.2,83,32,16,4,0,False
